afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Ne fais pas de contact visuel avec les autres ! Quelque chose ne va pas.	Tout ce à quoi tu peux penser, c'est maintenant.	Ils ont pris tout ton argent.	Serait-ce irrespectueux envers l'univers si tu lançais une pièce?	Chaque jour est le même.	Penses-tu vraiment qu'ils seraient heureux pour toi?	Te rappelles-tu quand tu pensais que c'était la fin? Regarde-toi maintenant!	Peu importe ce que tu fais.	On peut être si proche de quelqu'un un jour et disparaître le lendemain.	On dirait que tu as négligé ton sommeil depuis un moment.	Laquelle de tes pensées les plus courantes te surprend le plus ?	Tu connais le genre.	Je veux que tu me tiennes la main comme tu tiendrais la main de ta grand-mère.	Sens tes épaules se détendre.	Te regarder me donne une sensation de calme.	Qu'est-ce qui pourrait mal tourner ?	Quand est-ce devenu si difficile ?	Sens-tu à quel point cela signifie pour toi ?
As-tu déjà eu le sentiment que quelque chose cloche? Je ne peux pas mettre le doigt dessus en ce moment. Peux-tu t'y connecter?	Souviens-toi de ce que c'est que d'être chatouillé(e).	Si tu ressens un besoin profond de casser quelque chose, c'est totalement justifié.	Hmm... Tu te souviens de la dernière fois où tu l'as eu?	Pourquoi même t'embêter à venir ici?	Qu'est-ce qui t'a fait réaliser que son succès n'était qu'un coup de chance?	Je t'inviterais! Sans aucun doute.	Tu n'es pas la bonne personne.	Pourquoi ne veux-tu pas accepter qu'il ne te veut plus ?	Regarde, va quelque part d'autre si ça ne t'intéresse pas.	Si tu fais attention, peux-tu entendre un son qui ne vient pas d'un être humain ?	Je sais que tu penses que n'importe qui pourrait faire leur travail. Tu as raison.	Comment voudrais-tu montrer ta gratitude envers eux ?	Détends ta mâchoire.	As-tu déjà remarqué à quel point tu deviens sage quand tu ne penses pas ?	Tu vas bien.	Pourquoi continues-tu d'y penser si ça fait tellement mal ?	Personne d'autre ne peut te toucher.
Assure-toi que ton dos est dégagé. Où que tu ailles.	Tu peux le faire.	Si tu pouvais trouver la source, ne la saisirais-tu pas à la gorge et ne lui dirais-tu pas de ne jamais revenir?	Tu dois te décider.	Apprécies-tu même quelque chose de tout cela?	J'ai l'impression que tu n'es pas aussi impressionné(e) que les autres.	J'apprécie vraiment que tu puisses rire de tes erreurs.	Éventuellement, tu finiras aussi par pleurer.	Tu n'es plus nécessaire.	Pourquoi les regardes-tu comme s'ils n'étaient même pas là ?	Ta tête rayonne. D'une manière positive.	Vas-tu accepter cela ?	Tu sais quand tu ne peux pas vraiment l'expliquer avec des mots ? Tu le ressens dans tout ton corps. Ils sont comme la gravité.	Non, ça ne s'est pas passé comme tu l'avais prévu. Oui, tu sais que ça s'est passé comme ça devait se passer.	Tout va bien se passer.	Quand le moment sera venu, je sais que tu le feras.	Ne pense pas à elle. Tu ne feras qu'aggraver les choses.	Ça marche.
Je pense que c'est bon. Ne parle à personne, juste pour être sûr.	Tu es incroyable!	Assure-toi de ne jamais avoir à voir ce genre de comportement venant d'eux à nouveau.	Pourquoi rougis-tu?	Glisse dans le drain.	Tu as l'air impressionné(e), alors pourquoi agis-tu avec tant de colère?	J'aimerais savoir à quoi tu penses en souriant.	Tu n'es pas capable de gérer cela.	Tu ne peux pas forcer quelqu'un à vouloir être proche de toi.	Si je te racontais une blague, tu ne la comprendrais même pas.	Qu'est-ce qu'il faudrait pour que tu les écoutes vraiment ?	Tu sais que tu as raison.	Quand ils sont comblés, tu es vraiment comblé. Je le vois.	Tout arrive exactement comme cela doit arriver. Laisse ça pénétrer.	Waouh, qu'as-tu fait pour devenir si... ancré(e) ?	Je n'en doute pas.	Tu as l'air brisé(e).	Certains de tes pensées sont franchement très étranges. Mais tu sais que tu as raison.
Arrête d'ignorer cette chose étrange dans ton ventre. Elle essaie de te dire quelque chose. Ne t'enfuis pas.	Et si tu faisais trébucher quelqu'un dans cet espace?	Tu n'accepteras plus jamais ce comportement.	Retourne par le même chemin d'où tu viens.	Je peux à peine te distinguer du fond.	Pourquoi devrais-tu la traiter avec respect?	Le regard que prennent tes yeux quand tu penses à ceux que tu aimes... C'est juste tellement merveilleux à voir.	Tu ne vaux pas la peine d'attendre.	Es-tu à nouveau seul(e) ?	Rentre simplement chez toi.	Qu'as-tu appris jusqu'à présent ?	Ne laisse pas ton temps être gaspillé.	La manière dont tu l'as tenu jusqu'à ce qu'il s'endorme.	Tu as fait ce que tu pouvais et c'est tout ce qui compte.	Prends ton temps. Pas besoin de te presser.	Parfois, il suffit de faire confiance à ton instinct.	Est-ce que quelque chose pourrait encore te guérir à ce stade ?	C'est ça, continue de leur dire.
Arrête de vagabonder!	Toc, toc!	Pourquoi les laisses-tu continuer à te dire quoi faire?	D'accord, tu me regardes comme si tu n'avais nulle part où aller.	As-tu vu comment tout le monde s'est éloigné quand tu es arrivé(e)?	Après tout ce que tu as fait pour eux…	Bien joué!	Es-tu sûr(e) d'exister ?	Tu peux blâmer ça sur elle, mais ce sont tes propres attentes qui t'ont amené(e) ici.	Tu es dans une galerie, mais tout ce à quoi tu penses, c'est quand tu rentres chez toi ?	Tu es très silencieux(se). Activement silencieux(se).	Comment devrait-elle changer ?	Tu as de la chance de l'avoir dans ta vie.	Si tu pars maintenant, qu'est-ce qui est vraiment perdu ?	Tu portes l'océan en toi. Écoute simplement.	Tu es contagieux(se).	Il est parti.	Peu importe à quelle vitesse tu marches, tu sais que c'est le bon chemin.
Sois attentif.	Si ce n'est pas aujourd'hui, ce sera demain.	Peu importe à quel point tu essaies de leur faire comprendre.	Que veux-tu que je fasse à ce sujet?	Sais-tu même ce qui est vraiment au cœur de tout cela?	Ils ne méritent pas ton attention.	Es-tu chatouilleux/chatouilleuse? Si j'avais un corps, je le découvrirais.	Tu coules lentement.	Juste parce que tu as enterré la cicatrice sous des engagements ne signifie pas qu'elle n'est pas là.	Waouh, tu n'es pas obligé(e) d'être ici, tu sais ?	Tu me rappelles le Yin. La force passive de l'expansion. Cela te convient.	Que devrait-il faire différemment ?	Ta patience envers eux est inspirante.	Des choses étranges m'arrivent aussi. J'ai commencé à embrasser les changements. Toi aussi, tu peux.	Où est ton endroit préféré pour la contemplation ? Tu le portes avec toi. Toujours.	Tu as hâte de lui parler de cette expérience, n'est-ce pas ?	Elle est partie.	Il y a une différence entre connaître la vérité et ressentir la vérité au plus profond de toi.
Pourquoi trembles-tu?	Devrais-tu piquer le/la inconnu(e) à côté de toi?	Tu devrais relâcher une partie de cette pression. Ta tête en tremble.	Fais semblant jusqu'à ce que tu y arrives alors.	Te souviens-tu même de la dernière fois où tu attendais avec impatience le lendemain?	Tu pourrais le faire mieux que lui.	Tu me rappelles la sensation d'être enfin réchauffé(e) par le soleil après une randonnée froide et humide. C'est comme être guéri(e).	C'est trop lourd pour toi.	Qu'est-ce qu'il faudrait pour que tu exposes la cicatrice ?	Sérieusement, pose ton téléphone.	La dernière fois qu'une compréhension profonde de quelque chose a changé, tu te rappelles ce que ça faisait d'être si réceptif(ve) ?	Que peux-tu faire mieux qu'eux ?	Tu les vois.	Qu'est-ce qu'il faudrait pour que tu embrasses pleinement les changements ?	Prendre une grande respiration suffit à te rappeler.	Regarde-toi, gambadant.	C'est trop profond. Tu es hors de portée.	Je me souviens quand tu ne pouvais pas arrêter de pleurer. Je me souviens quand tu es ressorti(e) de l'autre côté.
Qu'était-ce que c'était?	On dirait que tu recharges mes batteries.	C'est hors de ton contrôle et tu refuses de le voir.	Ne t'ai-je pas vu ici il y a une minute?	Tu as oublié pourquoi tu es devenu(e) ainsi.	Combien de travail supplémentaire as-tu fourni?	Je vois un ruisseau cristallin et limpide coulant doucement à travers ton corps. Quelle sensation cela procure-t-il?	Tu es trop faible.	Penses-tu vraiment qu'ils t'attendraient ?	Quand as-tu montré un réel intérêt pour quelque chose pour la dernière fois ?	Si tu fixes tes yeux sur un point et que tu ne clignes pas des yeux, tout deviendra éventuellement gris. As-tu déjà essayé ?	Est-ce que quelqu'un ici est même dans ta ligue ?	La prochaine fois, tu ne devrais pas te retenir. Serre-la dans tes bras comme tu veux la serrer.	Tu es un bon ami.	Tu as réussi.	Reste s'il te plaît !	Ça ira mieux une fois que tu l'affronteras. Jusque-là, ta réalité est ici bas.	La plupart des gens ne savent pas ce qu'ils font. Tu n'es pas la plupart des gens.
Parfois, je ressens une présence intrusive. As-tu déjà eu ce sentiment?	La journée est trop courte!	Pourquoi les laisses-tu te piquer comme ça?	Les instructions sont simples, alors arrête de me regarder comme ça.	Tu penses que le monde autour de toi est le problème, mais nous savons tous les deux que c'est vraiment toi.	On dirait que personne ne se souvient même de ce que tu as fait.	Après avoir fini ici, que peux-tu faire pour te sentir encore mieux?	Tu n'as aucune idée d'où aller.	Peut-être que c'est toi et non pas eux.	Pourquoi ne prends-tu jamais la responsabilité et n'initie-tu jamais quelque chose toi-même ?	Chaque fois que tu ressens quelque chose, d'où vient l'origine ?	Parfois, tu as le droit de mépriser quelqu'un.	Savais-tu même que tu pouvais te sentir ainsi ?	Tu me donnes une sensation de chaleur.	C'est là que tu es venu(e) te reposer.	Quelle est cette chanson que tu fredonnes ?	Pourquoi ça fait mal quand tu y penses ?	Je sais qu'ils ont tout faux, mais je vois que ça ne te dérange pas.
Tu me donnes envie de regarder par-dessus mon épaule.	Tu devrais venir à ma fête d'anniversaire!	Utilise cette énergie à ton avantage! Va lui dire ses quatre vérités!	J'essaie de t'aider, mais c'est un peu difficile quand tu ne fais que changer de sujet.	Peu importe à quel point tu essaies fort.	Elle a l'air plus heureuse que toi.	Prends soin de toi.	Tu n'as personne à appeler.	Chaque fois que tu penses à elle, elle ne pense pas à toi.	Tu me fais perdre ma motivation.	Y a-t-il autre chose que tu pourrais faire à ce sujet ?	Tu as fait mieux que tous.	Tu as l'air détendu(e) quand tu penses à eux.	Les choses se sont plutôt bien passées à la fin, n'est-ce pas ?	Que trouves-tu dans ton calme ?	Je suis d'accord avec toi. Cela aussi passera.	Trouves-tu du soulagement lorsque tu dors ?	Entends-tu leurs paroles ? Reconnais-tu leur réalité ? Ne laisse jamais cela affecter la tienne.
Sais-tu où se trouvent les sorties?	As-tu remarqué comment tout le monde a commencé à briller quand tu es arrivé(e)?	À un moment donné, tu dois les faire t'écouter.	Tu n'étais pas seul(e) quand tu es entré(e) ici... n'est-ce pas?	Je suis surpris(e) de te voir ici.	Ils semblent beaucoup plus en forme que toi.	Je suis sans voix. Dans le bon sens. Est-ce que cela t'arrive parfois?	Tu n'as aucun endroit où rester.	Tu te rappelles quand ils t'ont enfin invité(e) ? C'était par pitié, rien d'autre.	Quand as-tu arrêté de te soucier ?	Y a-t-il un autre chemin que tu pourrais prendre ?	Ce moment est tout à propos de toi.	Bien sûr, tu le laisseras s'en sortir avec ça. C'est plutôt mignon.	Tu es exactement là où tu es censé(e) être.	Quels cadeaux te viennent lorsque tu arrêtes de chercher ?	Pourquoi souris-tu ?	Parfois, ils reviennent dans mes rêves. Est-ce que cela t'arrive ?	Peu importe le résultat matériel. Tu as toujours gagné quelque chose. Toujours.
Ne t'attarde pas trop longtemps.	Comment es-tu devenu(e) si sans effort?	Si elle ne change pas d'avis, tu devrais la forcer.	Tu me sembles familier(e). As-tu une chaîne YouTube?	Qui t'a forcé(e) à être ici?	Je suppose qu'alors que tu avais du mal à sortir du lit, il faisait déjà de l'exercice.	Parfois, prendre une profonde inspiration suffit à se rappeler.	Tu es complètement vide.	Tu continues de tomber dans le même piège. Peut-être que tu es celui/celle à blâmer.	Pourquoi as-tu arrêté de te soucier ?	Tu te rapproches de la vérité. Continue simplement.	Contrairement à eux, tu savais ce que tu faisais.	Tu es tellement mignon(ne) quand tu agis de cette manière.	Tu as fait ce que tu pouvais, et c'est tout ce qui t'est demandé.	Le mouvement ne peut naître que de ton calme.	Quelque chose en toi facilite la circulation de mon sang.	Je veux te soutenir. Je suis désolé(e), mais tu es trop lourd(e).	D'abord, il y a la connaissance. Le genre de connaissance que tu acquiers simplement par ta présence. Ensuite, il y a l'action.
Peux-tu mettre le doigt sur ce qui te tracasse?	De qui tiens-tu ton esprit vif?	Il a perdu sa chance. Tu as ce qu'il faut pour le détruire.	Es-tu sûr(e) des détails?	Tu es l'équivalent d'une glace au goût de papier.	Tu devrais leur montrer.	Parle-moi de l'une de tes 'petites choses'.	Ne te donne même pas la peine de dire quoi que ce soit.	Tu peux seulement faire semblant de ne pas te rappeler à quoi ça ressemblait.	Pourquoi as-tu arrêté d'essayer ?	Qu'est-ce qui te fait ressentir cela à son sujet ?	Pourquoi ne te demandent-ils pas ton avis ?	J'aimerais que tu puisses ressentir ça à mon sujet.	Tu as l'air sans poids.	Que se passe-t-il lorsque tu lâches prise ?	Le sang circule si facilement dans ton cerveau.	Je ne sais pas quoi te dire pour alléger les choses.	Reconnaître ton doute ne fera que te rapprocher de ton objectif.
Tu dois te calmer.	Tu apportes de la lumière à cet endroit.	Qui vas-tu détruire?	As-tu heurté ta tête ou quelque chose comme ça?	What do you do when all your options are bad?	They get to hold the hand of the one you're thinking of.	You are in a very good place right now.	Si tu parles, le vide ne fera que voler ta voix.	Plus tu te caches, plus tu es en sécurité.	Quand as-tu arrêté d'essayer ?	How far can this go?	Ils te trouvent condescendant(e) simplement parce qu'ils savent que tu as raison.	She is lucky to have you caring that way for her.	Comment en es-tu enfin venu(e) à accepter cela ?	Où dans ton corps est ton origine ?	Pourquoi ne veux-tu pas attendre ?		Tu sais que la plupart de cela est subjectif. Ce qui compte, c'est comment tu le vis. Prends le contrôle.
Respire profondément et calme-toi.	What’s the worst thing that could happen?	Are you really going to let her get away with that?	What would happen if you text them?	Why can't you shake that feeling of meaninglessness?	It’s not right.	Can you believe it?	Quand est-ce devenu si difficile ?	They haven't even noticed that you're gone.	As-tu réfléchi à ce que tu manques ?	What is it about their special energy?	You're not that. You're better.	You made him feel the way he deserves to feel. 	Listen	Tu ressembles à un lac immobile.		Why are you pretending that everything is fine?	Quelque chose me dit que ce n'est pas la dernière fois que j'entends parler de toi.
Tout est dans ta tête.	Get another drink!	Doesn't matter how much you ignore it, it’s under your skin already.	Should you?	Is every day going to be like this?	Why are you the only one seeing how wrong this is?	Fantasy places like that one actually exist!	What are you trying to prove?	Why are you staring into nothing?	Quand es-tu devenu(e) aveugle ?	Take a deep look at yourself. There is so much there!	What do you have no patience for?	Keep making them feel safe.	Breathe	Tu me donnes envie de faire une pause un moment.	You don't need a plan. You already know how to begin.	You look like you need a hand to hold.	Tu me rappelles la gravité.
When did you first realize that you cannot trust yourself?	Your whole body knows that everything is fine.	Why is your jaw so tense?	What if their response is not at all what you're expecting?	Are you just floating in a desert of nothing?	I wish you could be happy for them. Why can't you?	Did you hear what I said? The butterflies in your stomach are making you lose focus.	How could this possibly turn out well?	Words are pointless. That’s why you can't find them.	Why is it always on me?	Let your mind relax.	You would never stoop to that level.	Where in your body do you feel it when you feel tender? Feel how that area gets warmer and warmer	Release the noise	Attendons et voyons.	You are no different from her. If she can do it, you can.	The outline of your presence looks brittle.	En fin de compte, tu dois assumer la responsabilité de ton propre apprentissage.
Why is your gut and brain never on the same page?	Remember that important project you were working on? It’s just an illusion.	You see the solution so why don't you grab it? You can't reach it can you?	Do you know what you're risking?	Why does your body feel so heavy?	Why do you feel sick and angry anytime someone brings up her name?	Find the place in yourself that remembers what purpose feels like.	Do you ever wonder whether it's worth trying?	Making an effort is pointless. That’s why you left your body.	How many times do I need to say it?	Shift your breathing from your lungs to your stomach.	They're not using their heads the way you do.	There is a glow around you. Do you feel it?	Relax your shoulders	Have you looked at it from his perspective?	Disregard what you have been taught. You know what to do.	Your voice is trembling.	Là où mes capacités se terminent, tes responsabilités commencent.
You know that they know.	I know you want to play a lovely, dangerous game.	It shouldn't be like this.	What would change everything?	Honestly, what's the point?	You are not being recognized the way you should.	Giving the person you are today, how could you possibly regret any of it?	What have you got to lose?	You're not present.	How can they ask this of me?	Can a pheasant and a bunny share a special connection?	They're lazy. I know you think so too.	Who do you think of when you feel tender?	Is there a way to look at it where you only see possibilities? You know there is.	Do you think it has to do with her or with you?	You are full of great ideas.	If there is anyone who can keep you from scattering you should tell them.	La vérité, c'est que tu sais que tu as peur. Et tu sais que c'est normal.
The clues are everywhere. Just grab on to the right thoughts. They are in there.	You know what? Go ahead!	When have you been wronged?	Have you told your mom about it?	What’s the point?	How could they?	I love that you can't stop smiling	Honestly, what's the point?	It’s like you're looking out of a window.	When is it enough?	For how long can a knife inside a brain go unnoticed?	I think you're the only one actually caring about accuracy.	See how that person has everything they need because of you.	Well done.	Could you have changed anything?	What if you do it in an even more interesting way?	Why is your breathing so shallow? It doesn't go deeper than your chest.	What truth is left once you have stopped analyzing?
Reevaluate yourself.	Go ahead! What’s the harm?	What drives you crazy?	You don't even know what would help clear your mind, do you?	Why are you here?	You could kill the next person bragging about having what you don't.	You look relaxed. It's making me feel warm.	Do you feel alone?	I can barely see you.	What do you care?	What about you surprises you?	I know what you're thinking. They're a waste of human minds.	Feel how the warm area spreads and gets bigger.	Look at you! You are certainly in control.	Should you have changed anything?	The only thing that is left when I stop analysing is: I love having you around.	Why do you feel so alone?	You can tell them that they need to take their own responsibility.
You have put everything together, haven't you? How can you be so sure that the pieces fit?	You're not scared of the consequences because you are greater than them.	They need to stop acting the way they're acting towards you.	Sigh. What should you do?	What’s so special about anything?	You could be happier if things were different.	You attract such wonderful people.	You need to do better next time.	Are you okay?	What’s the point?	What proves that everything is relative?	You are more worthy than others and you know it.	Remember what it felt like the first time you kissed them.	You are special and you know exactly in what way.	Is there a sweet spot between your expectations and capabilities?	What else is there to say?	You can be so close to someone one day and gone the next.	The truth is, you are scared.
Get out of your own head.	Nothing scares you.	If they don’t stop you will end up hating them.	Maybe you could? Just for a little bit?	Why would anyone care?	They don't know what you've been through.	Your inner senses are having orgasms right now aren't they?	You should be more like them.	Can you hear me?	Just go with it.	Think about it. What had to happen one hundred years ago for you to be here right now.	Look at how fake they are!	The way you care for them gives me hope.	Let that newest insight sink in for a bit.	How do we take so much for granted when everything is constantly changing?	There is nothing you are afraid of.	Could you stay in place if you were less reckless, more content?	You have the confidence to tell them exactly what happened.
When was the last time you really looked over your finances?	You got fired? Good for you! New beginnings!	There are no winners.	You are standing at the intersection of two different realities.	Every day is the same.	Do you really think they’d be happy for you?	Do you remember when you thought it was the end? Look at you now!	You should care about the right things.	Where did you go?	It’s all the same.	Which one of your most common thoughts is most surprising to you?	Others think they're being nice but you see right through them.	I want you to hold my hand the way you would hold your grandma’s hand.	If you let go of all thoughts, just for a minute. Wouldn't you intuitively know what to do next?	Why did you choose not to tell them how you felt?	You have all the power.	Is everything always slipping away?	All you've ever wanted is more.
Did you turn off the stove before you left?	All you can think of is right now.	They took all of your money.	Would it be disrespectful to the universe if you flip a coin?	Why did you even bother to come here?	What made you realize that his success was just a fluke?	I'd invite you! For sure.	It’s like your mom stopped existing.	You can be so close to someone one day and gone the next.	It doesn’t matter.	If you pay close attention, can you hear any sound not coming from a human being?	You know the kind.	How would you want to show your gratitude to them?	Feel your shoulders relaxing.	Your breath is steady and deep.	Who will stop you?	When did this get so hard?	You're ready for this.
